feature_id_base,feature_id_ft,cosine_sim,freq_base,freq_ft,freq_shift,category
143,4408,0.13887574,1.7036646e-05,0.2135714,0.21355437,new_dead
144,2976,0.23744127,0.0,0.016218888,0.016218888,new_dead
145,4758,0.99915445,0.035078455,0.061229706,0.026151251,stable
146,5021,0.98356676,0.35161933,0.352403,0.00078368187,stable
147,5116,0.9989786,0.05150178,0.07124725,0.01974547,stable
148,3146,0.91346353,0.24181814,0.20304275,-0.0387754,stable
149,1343,0.16146322,3.407329e-05,0.011261223,0.0112271495,new_dead
150,4759,0.9987143,0.03114299,0.039729457,0.008586468,stable
151,4518,0.9500401,0.2774077,0.23837675,-0.039030954,stable
152,3255,0.9989587,0.05129734,0.058946796,0.007649455,stable
153,4870,0.9990246,0.06790807,0.087432064,0.019523993,stable
154,186,0.9939779,0.67364603,0.7818287,0.10818267,stable
155,2246,0.90339494,0.022471337,0.009284972,-0.013186364,stable
156,4664,0.9991064,0.026900863,0.0476515,0.020750636,stable
157,5116,0.99900794,0.04463601,0.07124725,0.026611239,stable
158,4072,0.99102056,0.6436104,0.7599877,0.116377294,stable
159,2385,0.1680877,0.0,0.0,0.0,new_dead
160,5301,0.9801019,0.35371485,0.3783839,0.024669051,stable
161,569,0.9933201,0.68351024,0.7857812,0.10227096,stable
162,4480,0.17854732,5.110994e-05,0.00023851304,0.0001874031,new_dead
163,1175,0.2764759,5.110994e-05,0.0910268,0.09097569,new_dead
164,1743,0.9990597,0.058793467,0.07813006,0.019336592,stable
165,3768,0.15825301,5.110994e-05,5.110994e-05,0.0,new_dead
166,5703,0.16971454,0.0,0.0,0.0,new_dead
167,5387,0.8910247,0.023152802,0.018450687,-0.0047021154,drifted
168,2679,0.9533589,0.064228155,0.064619996,0.00039184093,stable
169,5012,0.99826616,0.04531748,0.038792443,-0.006525036,stable
170,1505,0.2184686,1.7036646e-05,0.05509651,0.055079475,new_dead
171,5116,0.99898237,0.0505818,0.07124725,0.020665448,stable
172,5827,0.22827436,0.0,0.0071894648,0.0071894648,new_dead
173,2083,0.20186213,1.7036646e-05,0.0021466173,0.0021295806,new_dead
174,2121,0.16161695,0.00013629317,0.012709338,0.012573045,new_dead
175,2357,0.16132666,0.0,0.064994805,0.064994805,new_dead
176,472,0.99854,0.012419715,0.026151251,0.013731536,stable
177,4269,0.99909943,0.038622078,0.07429681,0.035674732,stable
178,2393,0.9990094,0.034209583,0.061093412,0.02688383,stable
179,2121,0.17832427,6.814658e-05,0.012709338,0.0126411915,new_dead
180,3207,0.95010614,0.2819565,0.19271854,-0.08923796,stable
181,162,0.15872213,3.407329e-05,0.0440738,0.04403973,new_dead
182,4369,0.9893613,0.006985025,0.006542072,-0.00044295285,stable
183,2754,0.98065627,0.58314735,0.6518732,0.068725824,stable
184,3867,0.9889839,0.6233368,0.7899552,0.1666184,stable
185,4758,0.99915755,0.02889415,0.061229706,0.032335557,stable
186,1024,0.97256243,0.087875016,0.08066852,-0.0072064996,stable
187,2904,0.19818741,0.0,0.009915328,0.009915328,new_dead
188,2117,0.9934391,0.60043955,0.6669506,0.066511035,stable
189,472,0.9985576,0.022880215,0.026151251,0.0032710359,stable
190,1869,0.9923559,0.6752134,0.7834983,0.10828489,stable
